company_name;Continent ;Country
Acea SpA;Europe;Italy
Aker Solutions;Europe;Norway
Amec Foster Wheeler (John Wood Group PLC);Europe;United Kingdom
Avangrid;North America;United States
Bharat Petroleum;Asia;India
BP;Europe;United Kingdom
Cairn India;Asia;India
Cameco;North America;Canada
Canadian Natural Resources;North America;Canada
Chevron Corporation;North America;United States
China Petroleum and Chemical (SINOPEC);Asia;China
CMS Energy;North America;United States
CNOOC Limited;Asia;China
ConocoPhillips;North America;United States
DCC;Europe;United Kingdom
E.ON SE;Europe;Germany
Ecopetrol;South America;Colombia
"	
Électricité de France";Europe;France
"	
Enagás";Europe;Spain
Enbridge Inc.;North America;Canada
Encana;North America;United States
Engie;Europe;France
Eni;Europe;Italy
ExxonMobil;North America;United States
Fairmount Santrol;North America;United States
First Solar;North America;United States
Formosa Petrochemical Corporation;Asia;Taiwan
Galp Energia;Europe;Portugal
Gazprom;Asia;Russia
Global Pvq SE i I;Europe;Germany
Grupa Lotos;Europe;Poland
Halliburton Company;North America;United States
Hellenic Petroleum;Europe;Greece
Hera;Europe;Italy
Hess Corporation;North America;United States
Hindustan Petroleum Corporation;Asia;India
Idemitsu Kosan Co., Ltd.;Asia;Japan
Indian Oil Corporation;Asia;India
Inpex Corporation;Asia;Japan
IRPC;Asia;Taiwan
JXTG Holdings;Asia;Japan
Mangalore Refinery and Petrochemicals Ltd.;Asia;India
Marathon Oil Corporation;North America;United States
Marathon Petroleum Corporation;North America;United States
MOL;Europe;Hungary
Motor Oil Hellas;Europe;Greece
National Grid;Europe;United Kingdom
Neste Oyj;Europe;Finland
NiSource;North America;United States
LUnited Kingdomoil;Asia;Russia
Occidental Petroleum Corporation;North America;United States
Oil and Natural Gas Corporation;Asia;India
Oil Refineries Ltd.;Asia;Israel
OMV AG;Europe;Austria
Ørsted;Europe;Denmark
Pennon Group;Europe;United Kingdom
PetroChina Co., Ltd.;Asia;China
Petrofac;Europe;United Kingdom
Petronas;Asia;Malaysia
Phillips 66;North America;United States
PKN ORLEN;Europe;Poland
PTTEP;Asia;Thailand
PTT Public Company Limited;Asia;Taiwan
Reliance Industries;Asia;India
Repsol;Europe;Spain
Rosneft;Europe;Russia
Royal Dutch Shell;Europe;United Kingdom
Rubis;Europe;France
RWE;Europe;Germany
Saipem;Europe;Italy
Santos;Australia;Australia
Saras;Europe;Italy
Sasol;Africa;South Africa
Saudi Basic Industries Corporation (SABIC);Asia;Saudi Arabia
Schlumberger;North America;United States
Scorpio Tankers Inc.;Europe;Monaco
Sempra Energy;North America;United States
Siemens Gamesa Renewable Energy;Europe;Germany
SK Innovation Co., Ltd.;Asia;South Korea
Snam;Europe;Italy
S-Oil;Asia;South Korea
Statoil;Europe;Norway
Suncor Energy;North America;Canada
SunPower;North America;United States
Técnicas Reunidas;Europe;Spain
Tenaris SA;Europe;Italy
ThaiOil;Asia;Taiwan
Total;Europe;France
TransCanada;North America;Canada
Tullow Oil;Europe;United Kingdom
Tupras;Europe;Turkey
"	
Ultrapar Participações S.A.";South America;Brazil
Vallourec;Europe;France
Vestas;Europe;Denmark
Weatherford International;North America;United States
Woodside Petroleum;Australia;Australia
Worley Parsons;Australia;Australia